04-21-2025 15:13:43 RAM 1557/6855MB (lfb 13x2MB) SWAP 231/3427MB (cached 3MB) CPU [33%@1420,25%@1420,66%@1420,58%@1420,25%@1420,100%@1420] EMC_FREQ 1%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42.5C thermal@40.95C AO@40C GPU@40.5C PMIC@50C VDD_IN 7331mW/7331mW VDD_CPU_GPU_CV 2371mW/2371mW VDD_SOC 1469mW/1469mW
04-21-2025 15:14:00 RAM 1858/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,15%@1420,100%@1420,15%@1420,8%@1420,15%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6430mW/6561mW VDD_CPU_GPU_CV 1840mW/1877mW VDD_SOC 1388mW/1397mW
04-21-2025 15:14:00 RAM 1858/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [25%@1420,8%@1420,100%@1419,0%@1419,8%@1420,8%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6420mW/6560mW VDD_CPU_GPU_CV 1840mW/1876mW VDD_SOC 1388mW/1397mW
04-21-2025 15:14:00 RAM 1858/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [23%@1420,0%@1420,100%@1420,9%@1419,0%@1419,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6389mW/6559mW VDD_CPU_GPU_CV 1758mW/1876mW VDD_SOC 1388mW/1397mW
04-21-2025 15:14:00 RAM 1859/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,0%@1419,100%@1420,8%@1420,9%@1418,23%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6379mW/6558mW VDD_CPU_GPU_CV 1799mW/1875mW VDD_SOC 1388mW/1397mW
04-21-2025 15:14:00 RAM 1859/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [9%@1420,8%@1420,100%@1420,8%@1420,0%@1418,9%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6297mW/6556mW VDD_CPU_GPU_CV 1758mW/1874mW VDD_SOC 1388mW/1397mW
04-21-2025 15:14:00 RAM 1859/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,0%@1420,100%@1419,9%@1420,0%@1421,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6297mW/6554mW VDD_CPU_GPU_CV 1717mW/1873mW VDD_SOC 1388mW/1397mW
04-21-2025 15:14:01 RAM 1859/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [28%@1419,8%@1419,76%@1419,15%@1420,27%@1420,8%@1421] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6266mW/6553mW VDD_CPU_GPU_CV 1676mW/1872mW VDD_SOC 1388mW/1397mW
04-21-2025 15:14:01 RAM 1858/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1420,0%@1420,0%@1419,0%@1420,100%@1417,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6266mW/6551mW VDD_CPU_GPU_CV 1676mW/1871mW VDD_SOC 1388mW/1397mW
04-21-2025 15:14:01 RAM 1858/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [9%@1420,0%@1409,0%@1420,8%@1419,100%@1418,9%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6225mW/6549mW VDD_CPU_GPU_CV 1676mW/1869mW VDD_SOC 1388mW/1397mW
04-21-2025 15:14:01 RAM 1858/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [38%@1418,8%@1422,8%@1415,0%@1420,100%@1418,9%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6266mW/6547mW VDD_CPU_GPU_CV 1717mW/1868mW VDD_SOC 1388mW/1397mW
04-21-2025 15:14:01 RAM 1858/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1417,0%@1420,15%@1421,8%@1418,100%@1420,23%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6307mW/6545mW VDD_CPU_GPU_CV 1717mW/1867mW VDD_SOC 1388mW/1397mW
04-21-2025 15:14:01 RAM 1858/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [9%@1419,8%@1418,9%@1420,9%@1420,100%@1420,9%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6257mW/6543mW VDD_CPU_GPU_CV 1676mW/1866mW VDD_SOC 1388mW/1397mW
04-21-2025 15:14:01 RAM 1858/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [30%@1419,0%@1419,0%@1419,8%@1419,100%@1420,15%@1417] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@40C GPU@40.5C PMIC@50C VDD_IN 6216mW/6541mW VDD_CPU_GPU_CV 1676mW/1865mW VDD_SOC 1388mW/1397mW
04-21-2025 15:14:01 RAM 1859/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [0%@1419,0%@1420,15%@1418,28%@1419,100%@1420,15%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6266mW/6540mW VDD_CPU_GPU_CV 1676mW/1864mW VDD_SOC 1388mW/1397mW
04-21-2025 15:14:01 RAM 1859/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1418,9%@1420,9%@1420,91%@1419,100%@1419,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6257mW/6538mW VDD_CPU_GPU_CV 1717mW/1863mW VDD_SOC 1388mW/1397mW
04-21-2025 15:14:02 RAM 1859/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [9%@1419,16%@1416,0%@1420,18%@1421,100%@1420,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6307mW/6536mW VDD_CPU_GPU_CV 1676mW/1862mW VDD_SOC 1388mW/1397mW
04-21-2025 15:14:02 RAM 1859/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [25%@1419,8%@1418,0%@1420,0%@1422,100%@1419,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@40C GPU@40.5C PMIC@50C VDD_IN 6297mW/6535mW VDD_CPU_GPU_CV 1635mW/1860mW VDD_SOC 1388mW/1396mW
04-21-2025 15:14:02 RAM 1859/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1420,0%@1420,8%@1420,0%@1420,100%@1419,8%@1418] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@40C GPU@40.5C PMIC@50C VDD_IN 6338mW/6534mW VDD_CPU_GPU_CV 1635mW/1859mW VDD_SOC 1388mW/1396mW
04-21-2025 15:14:02 RAM 1859/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [36%@1420,18%@1420,9%@1420,0%@1419,100%@1420,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6338mW/6533mW VDD_CPU_GPU_CV 1676mW/1858mW VDD_SOC 1388mW/1396mW
04-21-2025 15:14:02 RAM 1859/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [27%@1420,23%@1420,9%@1418,0%@1419,100%@1417,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6307mW/6531mW VDD_CPU_GPU_CV 1676mW/1857mW VDD_SOC 1388mW/1396mW
04-21-2025 15:14:02 RAM 1859/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,9%@1419,16%@1420,8%@1420,81%@1420,36%@1416] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6257mW/6530mW VDD_CPU_GPU_CV 1635mW/1856mW VDD_SOC 1388mW/1396mW
04-21-2025 15:14:02 RAM 1859/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [8%@1420,0%@1416,0%@1418,0%@1422,54%@1417,40%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@40C GPU@40.5C PMIC@50C VDD_IN 6052mW/6527mW VDD_CPU_GPU_CV 1472mW/1853mW VDD_SOC 1347mW/1396mW
04-21-2025 15:14:03 RAM 1859/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [15%@1420,8%@1420,0%@1419,0%@1419,100%@1420,0%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6052mW/6524mW VDD_CPU_GPU_CV 1513mW/1851mW VDD_SOC 1347mW/1396mW
04-21-2025 15:14:03 RAM 1860/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1421,0%@1419,0%@1419,9%@1420,100%@1420,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@40C GPU@40.5C PMIC@50C VDD_IN 6052mW/6521mW VDD_CPU_GPU_CV 1513mW/1849mW VDD_SOC 1347mW/1395mW
04-21-2025 15:14:03 RAM 1859/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1420,9%@1420,8%@1420,16%@1419,100%@1418,0%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6093mW/6519mW VDD_CPU_GPU_CV 1513mW/1847mW VDD_SOC 1347mW/1395mW
04-21-2025 15:14:03 RAM 1859/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,0%@1419,0%@1419,8%@1419,100%@1420,0%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@40C GPU@40.5C PMIC@50C VDD_IN 6103mW/6516mW VDD_CPU_GPU_CV 1554mW/1846mW VDD_SOC 1347mW/1395mW
04-21-2025 15:14:03 RAM 1859/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [27%@1419,0%@1420,9%@1420,18%@1420,100%@1419,0%@1421] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@40C GPU@40.5C PMIC@50C VDD_IN 6144mW/6514mW VDD_CPU_GPU_CV 1594mW/1844mW VDD_SOC 1347mW/1395mW
04-21-2025 15:14:03 RAM 1859/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [27%@1420,8%@1420,25%@1420,9%@1420,100%@1419,16%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6175mW/6512mW VDD_CPU_GPU_CV 1635mW/1843mW VDD_SOC 1347mW/1394mW
04-21-2025 15:14:03 RAM 1859/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1420,8%@1420,0%@1419,9%@1420,100%@1419,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6134mW/6510mW VDD_CPU_GPU_CV 1594mW/1842mW VDD_SOC 1347mW/1394mW
04-21-2025 15:14:03 RAM 1860/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [9%@1420,9%@1421,23%@1419,15%@1420,100%@1420,0%@1418] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6144mW/6508mW VDD_CPU_GPU_CV 1594mW/1840mW VDD_SOC 1347mW/1394mW
04-21-2025 15:14:03 RAM 1860/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [25%@1419,0%@1420,0%@1419,16%@1420,100%@1418,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6144mW/6506mW VDD_CPU_GPU_CV 1594mW/1839mW VDD_SOC 1347mW/1393mW
04-21-2025 15:14:04 RAM 1859/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [10%@1418,8%@1420,8%@1420,16%@1420,100%@1420,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6144mW/6504mW VDD_CPU_GPU_CV 1594mW/1837mW VDD_SOC 1347mW/1393mW
04-21-2025 15:14:04 RAM 1859/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1418,0%@1420,16%@1419,15%@1420,100%@1419,0%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@40C GPU@40.5C PMIC@50C VDD_IN 6134mW/6502mW VDD_CPU_GPU_CV 1594mW/1836mW VDD_SOC 1347mW/1393mW
04-21-2025 15:14:04 RAM 1859/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [10%@1420,0%@1420,0%@1420,0%@1420,100%@1420,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6134mW/6500mW VDD_CPU_GPU_CV 1594mW/1835mW VDD_SOC 1347mW/1393mW
04-21-2025 15:14:04 RAM 1861/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [28%@1420,0%@1420,15%@1417,8%@1419,100%@1419,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6144mW/6498mW VDD_CPU_GPU_CV 1594mW/1833mW VDD_SOC 1347mW/1392mW
04-21-2025 15:14:04 RAM 1860/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [30%@1420,16%@1419,0%@1420,16%@1420,100%@1419,15%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@41C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6175mW/6496mW VDD_CPU_GPU_CV 1635mW/1832mW VDD_SOC 1347mW/1392mW
04-21-2025 15:14:04 RAM 1860/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [10%@1420,0%@1420,9%@1420,0%@1419,100%@1419,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6175mW/6494mW VDD_CPU_GPU_CV 1635mW/1831mW VDD_SOC 1347mW/1392mW
04-21-2025 15:14:04 RAM 1860/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1420,0%@1420,16%@1417,16%@1419,100%@1419,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6175mW/6493mW VDD_CPU_GPU_CV 1635mW/1830mW VDD_SOC 1347mW/1392mW
04-21-2025 15:14:04 RAM 1860/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,10%@1420,0%@1419,8%@1419,100%@1420,0%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6184mW/6491mW VDD_CPU_GPU_CV 1635mW/1829mW VDD_SOC 1347mW/1391mW
04-21-2025 15:14:04 RAM 1859/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,8%@1419,23%@1419,9%@1420,100%@1420,0%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6175mW/6489mW VDD_CPU_GPU_CV 1635mW/1828mW VDD_SOC 1347mW/1391mW
04-21-2025 15:14:05 RAM 1861/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1420,16%@1420,8%@1418,0%@1419,100%@1419,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@40C GPU@40.5C PMIC@50C VDD_IN 6184mW/6488mW VDD_CPU_GPU_CV 1635mW/1827mW VDD_SOC 1347mW/1391mW
04-21-2025 15:14:05 RAM 1860/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,9%@1420,9%@1419,0%@1419,100%@1420,7%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40C PMIC@50C VDD_IN 6134mW/6486mW VDD_CPU_GPU_CV 1594mW/1826mW VDD_SOC 1347mW/1391mW
04-21-2025 15:14:05 RAM 1859/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1420,0%@1420,8%@1419,8%@1419,100%@1419,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6144mW/6484mW VDD_CPU_GPU_CV 1594mW/1825mW VDD_SOC 1347mW/1391mW
04-21-2025 15:14:05 RAM 1860/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [30%@1420,25%@1420,40%@1420,16%@1420,100%@1420,9%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6266mW/6483mW VDD_CPU_GPU_CV 1676mW/1824mW VDD_SOC 1347mW/1390mW
04-21-2025 15:14:05 RAM 1863/6855MB (lfb 51x1MB) SWAP 231/3427MB (cached 3MB) CPU [33%@1419,16%@1419,23%@1420,18%@1420,100%@1420,7%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6297mW/6482mW VDD_CPU_GPU_CV 1758mW/1823mW VDD_SOC 1388mW/1390mW
04-21-2025 15:14:05 RAM 1862/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,33%@1419,8%@1419,8%@1419,100%@1420,9%@1417] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6338mW/6481mW VDD_CPU_GPU_CV 1758mW/1823mW VDD_SOC 1388mW/1390mW
04-21-2025 15:14:05 RAM 1862/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,0%@1419,0%@1420,0%@1419,100%@1417,0%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6257mW/6480mW VDD_CPU_GPU_CV 1717mW/1823mW VDD_SOC 1388mW/1390mW
04-21-2025 15:14:05 RAM 1862/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [28%@1420,9%@1417,0%@1418,8%@1420,100%@1419,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6225mW/6479mW VDD_CPU_GPU_CV 1676mW/1822mW VDD_SOC 1388mW/1390mW
04-21-2025 15:14:06 RAM 1860/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1419,16%@1420,9%@1414,9%@1419,100%@1419,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6216mW/6477mW VDD_CPU_GPU_CV 1676mW/1821mW VDD_SOC 1388mW/1390mW
04-21-2025 15:14:06 RAM 1861/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1417,9%@1420,0%@1420,8%@1420,100%@1419,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6266mW/6476mW VDD_CPU_GPU_CV 1717mW/1821mW VDD_SOC 1388mW/1390mW
04-21-2025 15:14:06 RAM 1861/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [9%@1420,16%@1420,9%@1420,9%@1420,100%@1420,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 6216mW/6475mW VDD_CPU_GPU_CV 1676mW/1820mW VDD_SOC 1347mW/1390mW
04-21-2025 15:14:06 RAM 1863/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [25%@1419,8%@1420,8%@1419,8%@1420,100%@1420,0%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6225mW/6474mW VDD_CPU_GPU_CV 1676mW/1819mW VDD_SOC 1347mW/1390mW
04-21-2025 15:14:06 RAM 1864/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [90%@1420,11%@1420,0%@1418,9%@1409,100%@1420,9%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6389mW/6473mW VDD_CPU_GPU_CV 1799mW/1819mW VDD_SOC 1388mW/1390mW
04-21-2025 15:14:06 RAM 1861/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [81%@1420,23%@1415,8%@1414,16%@1420,100%@1420,41%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6502mW/6473mW VDD_CPU_GPU_CV 1922mW/1819mW VDD_SOC 1388mW/1390mW
04-21-2025 15:14:06 RAM 1861/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [50%@1420,0%@1421,9%@1419,10%@1420,100%@1418,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 6502mW/6474mW VDD_CPU_GPU_CV 1881mW/1820mW VDD_SOC 1388mW/1390mW
04-21-2025 15:14:06 RAM 1861/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [10%@1415,9%@1421,0%@1420,8%@1420,100%@1418,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6379mW/6473mW VDD_CPU_GPU_CV 1799mW/1820mW VDD_SOC 1388mW/1390mW
