04-10-2025 21:51:15 RAM 4303/30587MB (lfb 312x4MB) SWAP 0/15294MB (cached 0MB) CPU [8%@2201,6%@2201,11%@2201,87%@2201,6%@2035,7%@2035,6%@2035,6%@2035,6%@729,6%@729,14%@729,6%@729] EMC_FREQ 0% GR3D_FREQ 22% CV0@-256C CPU@50.593C Tboard@38C SOC2@46.5C Tdiode@40.25C SOC0@47.625C CV1@-256C GPU@46.687C tj@50.593C SOC1@47.906C CV2@-256C
04-10-2025 21:52:13 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,60%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 65% CV0@-256C CPU@51.125C Tboard@39C SOC2@46.906C Tdiode@40.75C SOC0@48.062C CV1@-256C GPU@47.437C tj@51.125C SOC1@48.625C CV2@-256C
04-10-2025 21:52:14 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,60%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 27% CV0@-256C CPU@51.468C Tboard@39C SOC2@47.062C Tdiode@40.75C SOC0@48.093C CV1@-256C GPU@47.031C tj@51.468C SOC1@48.281C CV2@-256C
04-10-2025 21:52:15 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,1%@2201,59%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 58% CV0@-256C CPU@51.031C Tboard@39C SOC2@47.125C Tdiode@41C SOC0@48.125C CV1@-256C GPU@47.062C tj@51.031C SOC1@48.218C CV2@-256C
04-10-2025 21:52:16 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,61%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 71% CV0@-256C CPU@50.906C Tboard@39C SOC2@47.031C Tdiode@41C SOC0@48.312C CV1@-256C GPU@47.312C tj@51.093C SOC1@48.375C CV2@-256C
04-10-2025 21:52:17 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,58%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 21% CV0@-256C CPU@51.093C Tboard@39C SOC2@47.062C Tdiode@41C SOC0@48.437C CV1@-256C GPU@47.125C tj@51.093C SOC1@48.5C CV2@-256C
04-10-2025 21:52:18 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,61%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 50% CV0@-256C CPU@51.281C Tboard@39C SOC2@47C Tdiode@40.75C SOC0@48.062C CV1@-256C GPU@47.281C tj@51.281C SOC1@48.5C CV2@-256C
04-10-2025 21:52:19 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,62%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 67% CV0@-256C CPU@51.156C Tboard@39C SOC2@47.062C Tdiode@40.75C SOC0@48.031C CV1@-256C GPU@47.062C tj@51.562C SOC1@48.218C CV2@-256C
04-10-2025 21:52:20 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,60%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 33% CV0@-256C CPU@51.343C Tboard@39C SOC2@47.125C Tdiode@40.75C SOC0@48.218C CV1@-256C GPU@47.312C tj@51.062C SOC1@48.343C CV2@-256C
04-10-2025 21:52:21 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,61%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 45% CV0@-256C CPU@51.062C Tboard@39C SOC2@47C Tdiode@41C SOC0@48.25C CV1@-256C GPU@47.468C tj@51.062C SOC1@48.406C CV2@-256C
04-10-2025 21:52:22 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [1%@2201,0%@2201,61%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 29% CV0@-256C CPU@51.125C Tboard@39C SOC2@47C Tdiode@41C SOC0@48.312C CV1@-256C GPU@47.218C tj@51.125C SOC1@48.343C CV2@-256C
04-10-2025 21:52:23 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,61%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 72% CV0@-256C CPU@51.062C Tboard@39C SOC2@47.062C Tdiode@41C SOC0@48.343C CV1@-256C GPU@47.125C tj@51.25C SOC1@48.531C CV2@-256C
04-10-2025 21:52:24 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,61%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 43% CV0@-256C CPU@51.093C Tboard@39C SOC2@47.093C Tdiode@40.75C SOC0@48.093C CV1@-256C GPU@47.531C tj@51.468C SOC1@48.531C CV2@-256C
04-10-2025 21:52:25 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,61%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 55% CV0@-256C CPU@51.281C Tboard@39C SOC2@47.125C Tdiode@41C SOC0@48.187C CV1@-256C GPU@47.687C tj@51.281C SOC1@48.312C CV2@-256C
04-10-2025 21:52:26 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,60%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 21% CV0@-256C CPU@51.75C Tboard@39C SOC2@47.093C Tdiode@40.75C SOC0@48.093C CV1@-256C GPU@47.343C tj@51.75C SOC1@48.25C CV2@-256C
04-10-2025 21:52:27 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,61%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 68% CV0@-256C CPU@51.437C Tboard@39C SOC2@47.125C Tdiode@41C SOC0@48.125C CV1@-256C GPU@47.281C tj@51.437C SOC1@48.281C CV2@-256C
04-10-2025 21:52:28 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,60%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 15% CV0@-256C CPU@51.062C Tboard@39C SOC2@47.187C Tdiode@41C SOC0@48.187C CV1@-256C GPU@47.125C tj@51.062C SOC1@48.281C CV2@-256C
04-10-2025 21:52:29 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,60%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 59% CV0@-256C CPU@51.625C Tboard@39C SOC2@47.187C Tdiode@41C SOC0@48.25C CV1@-256C GPU@47.218C tj@51.125C SOC1@48.406C CV2@-256C
04-10-2025 21:52:30 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,61%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 58% CV0@-256C CPU@51.093C Tboard@39C SOC2@47.062C Tdiode@41C SOC0@48.312C CV1@-256C GPU@47.25C tj@51.093C SOC1@48.406C CV2@-256C
04-10-2025 21:52:31 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,61%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 72% CV0@-256C CPU@51.093C Tboard@39C SOC2@46.968C Tdiode@41C SOC0@48.406C CV1@-256C GPU@47.187C tj@51.156C SOC1@48.468C CV2@-256C
04-10-2025 21:52:32 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,61%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 14% CV0@-256C CPU@51.125C Tboard@39C SOC2@47.031C Tdiode@41C SOC0@48.562C CV1@-256C GPU@47.156C tj@51.125C SOC1@48.625C CV2@-256C
04-10-2025 21:52:33 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,61%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 60% CV0@-256C CPU@51.187C Tboard@39C SOC2@47.093C Tdiode@40.75C SOC0@48.218C CV1@-256C GPU@47.125C tj@51.187C SOC1@48.75C CV2@-256C
04-10-2025 21:52:34 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,61%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 49% CV0@-256C CPU@51.156C Tboard@39C SOC2@47.093C Tdiode@41C SOC0@48.125C CV1@-256C GPU@47.062C tj@51.625C SOC1@48.593C CV2@-256C
04-10-2025 21:52:35 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,60%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 24% CV0@-256C CPU@51.375C Tboard@39C SOC2@47.125C Tdiode@41C SOC0@48.187C CV1@-256C GPU@47.531C tj@51.375C SOC1@48.406C CV2@-256C
04-10-2025 21:52:36 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,59%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 70% CV0@-256C CPU@51.25C Tboard@39C SOC2@47.25C Tdiode@41C SOC0@48.25C CV1@-256C GPU@47.468C tj@51.093C SOC1@48.312C CV2@-256C
04-10-2025 21:52:37 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,61%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 14% CV0@-256C CPU@51.531C Tboard@39C SOC2@47.218C Tdiode@41C SOC0@48.218C CV1@-256C GPU@47.656C tj@51.531C SOC1@48.312C CV2@-256C
04-10-2025 21:52:38 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,61%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 43% CV0@-256C CPU@51.281C Tboard@39C SOC2@47.25C Tdiode@41C SOC0@48.281C CV1@-256C GPU@47.312C tj@51.093C SOC1@48.343C CV2@-256C
04-10-2025 21:52:39 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,61%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 74% CV0@-256C CPU@51.718C Tboard@39C SOC2@47.218C Tdiode@41C SOC0@48.375C CV1@-256C GPU@47.25C tj@51.718C SOC1@48.437C CV2@-256C
04-10-2025 21:52:40 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,62%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 42% CV0@-256C CPU@51.156C Tboard@39C SOC2@47.031C Tdiode@41C SOC0@48.375C CV1@-256C GPU@47.625C tj@51.156C SOC1@48.562C CV2@-256C
04-10-2025 21:52:41 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,60%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 76% CV0@-256C CPU@51.25C Tboard@39C SOC2@47.093C Tdiode@41C SOC0@48.25C CV1@-256C GPU@47.656C tj@51.25C SOC1@48.656C CV2@-256C
04-10-2025 21:52:42 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,60%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 49% CV0@-256C CPU@51.5C Tboard@39C SOC2@47.218C Tdiode@41C SOC0@48.218C CV1@-256C GPU@47.718C tj@51.5C SOC1@48.406C CV2@-256C
04-10-2025 21:52:43 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,61%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 37% CV0@-256C CPU@51.062C Tboard@39C SOC2@47.218C Tdiode@41C SOC0@48.281C CV1@-256C GPU@47.281C tj@51.062C SOC1@48.406C CV2@-256C
04-10-2025 21:52:44 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,60%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 68% CV0@-256C CPU@51.718C Tboard@39C SOC2@47.031C Tdiode@41C SOC0@48.343C CV1@-256C GPU@47.25C tj@51.187C SOC1@48.531C CV2@-256C
04-10-2025 21:52:45 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,60%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 14% CV0@-256C CPU@51.218C Tboard@39C SOC2@47.125C Tdiode@41C SOC0@48.437C CV1@-256C GPU@47.156C tj@51.218C SOC1@48.5C CV2@-256C
04-10-2025 21:52:46 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,1%@2201,60%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 59% CV0@-256C CPU@51.281C Tboard@39C SOC2@47.187C Tdiode@41C SOC0@48.281C CV1@-256C GPU@47.312C tj@51.281C SOC1@48.656C CV2@-256C
