04-10-2025 21:35:58 RAM 4255/30587MB (lfb 319x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@729,18%@729,6%@729,6%@729,6%@2201,85%@2201,7%@2201,7%@2201,8%@2112,6%@2112,7%@2112,6%@2112] EMC_FREQ 0% GR3D_FREQ 41% CV0@-256C CPU@51C Tboard@38C SOC2@46.343C Tdiode@40C SOC0@47.375C CV1@-256C GPU@46.062C tj@51C SOC1@47.562C CV2@-256C
04-10-2025 21:36:56 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [1%@729,1%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,56%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 53% CV0@-256C CPU@50.937C Tboard@38C SOC2@46.781C Tdiode@40.5C SOC0@47.781C CV1@-256C GPU@47.093C tj@50.843C SOC1@48C CV2@-256C
04-10-2025 21:36:57 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,55%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 39% CV0@-256C CPU@51.093C Tboard@38C SOC2@46.75C Tdiode@40.5C SOC0@47.781C CV1@-256C GPU@47.281C tj@51.093C SOC1@47.968C CV2@-256C
04-10-2025 21:36:58 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,2%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,56%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 8% CV0@-256C CPU@51C Tboard@38C SOC2@46.812C Tdiode@40.5C SOC0@47.812C CV1@-256C GPU@47.312C tj@50.812C SOC1@48C CV2@-256C
04-10-2025 21:36:59 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,2%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,55%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 63% CV0@-256C CPU@51.343C Tboard@38C SOC2@46.875C Tdiode@40.5C SOC0@47.906C CV1@-256C GPU@47.062C tj@51.343C SOC1@48.031C CV2@-256C
04-10-2025 21:37:00 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,2%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,56%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 95% CV0@-256C CPU@50.812C Tboard@38C SOC2@46.781C Tdiode@40.5C SOC0@47.875C CV1@-256C GPU@46.937C tj@50.812C SOC1@48.062C CV2@-256C
04-10-2025 21:37:01 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [2%@729,1%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,55%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 45% CV0@-256C CPU@50.843C Tboard@38C SOC2@46.687C Tdiode@40.5C SOC0@47.906C CV1@-256C GPU@46.937C tj@50.843C SOC1@47.968C CV2@-256C
04-10-2025 21:37:02 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,55%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 7% CV0@-256C CPU@50.812C Tboard@38C SOC2@46.656C Tdiode@40.5C SOC0@47.875C CV1@-256C GPU@46.875C tj@50.812C SOC1@48.093C CV2@-256C
04-10-2025 21:37:03 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,56%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 87% CV0@-256C CPU@50.843C Tboard@38C SOC2@46.656C Tdiode@40.5C SOC0@47.968C CV1@-256C GPU@46.781C tj@50.843C SOC1@48.187C CV2@-256C
04-10-2025 21:37:04 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,57%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 85% CV0@-256C CPU@50.906C Tboard@38C SOC2@46.718C Tdiode@40.5C SOC0@48.156C CV1@-256C GPU@46.718C tj@50.906C SOC1@48.187C CV2@-256C
04-10-2025 21:37:05 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,2%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,56%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 94% CV0@-256C CPU@50.875C Tboard@38C SOC2@46.75C Tdiode@40.5C SOC0@48.062C CV1@-256C GPU@47.218C tj@50.875C SOC1@48.187C CV2@-256C
04-10-2025 21:37:06 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,2%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,56%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 95% CV0@-256C CPU@50.906C Tboard@38C SOC2@46.656C Tdiode@40.5C SOC0@47.812C CV1@-256C GPU@47.156C tj@50.906C SOC1@48.218C CV2@-256C
04-10-2025 21:37:07 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,57%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 81% CV0@-256C CPU@50.843C Tboard@38C SOC2@46.687C Tdiode@40.5C SOC0@47.843C CV1@-256C GPU@47.062C tj@50.843C SOC1@48.343C CV2@-256C
04-10-2025 21:37:08 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,56%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 43% CV0@-256C CPU@51.062C Tboard@38C SOC2@46.843C Tdiode@40.75C SOC0@47.812C CV1@-256C GPU@46.812C tj@51.062C SOC1@48.281C CV2@-256C
04-10-2025 21:37:09 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,2%@729,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,56%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 47% CV0@-256C CPU@50.875C Tboard@38C SOC2@46.781C Tdiode@40.5C SOC0@47.875C CV1@-256C GPU@46.75C tj@50.875C SOC1@48.25C CV2@-256C
04-10-2025 21:37:10 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [1%@2201,1%@2201,2%@2201,0%@2201,0%@2201,0%@2201,0%@2201,55%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 38% CV0@-256C CPU@51.187C Tboard@38C SOC2@46.75C Tdiode@40.5C SOC0@47.843C CV1@-256C GPU@46.843C tj@51.187C SOC1@48.031C CV2@-256C
04-10-2025 21:37:11 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,2%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,56%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 33% CV0@-256C CPU@51.093C Tboard@38C SOC2@46.812C Tdiode@40.75C SOC0@47.843C CV1@-256C GPU@47.218C tj@51.093C SOC1@48.062C CV2@-256C
04-10-2025 21:37:12 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [1%@729,2%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,56%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 25% CV0@-256C CPU@51.406C Tboard@38C SOC2@46.812C Tdiode@40.5C SOC0@47.812C CV1@-256C GPU@47.343C tj@51.406C SOC1@48.031C CV2@-256C
04-10-2025 21:37:13 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,56%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 88% CV0@-256C CPU@51.125C Tboard@38C SOC2@46.812C Tdiode@40.5C SOC0@47.843C CV1@-256C GPU@47.343C tj@51.125C SOC1@48.031C CV2@-256C
04-10-2025 21:37:14 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [1%@729,1%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,56%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 57% CV0@-256C CPU@50.781C Tboard@38C SOC2@46.875C Tdiode@40.75C SOC0@47.906C CV1@-256C GPU@47.062C tj@50.781C SOC1@48.093C CV2@-256C
04-10-2025 21:37:15 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [1%@2201,2%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,55%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 13% CV0@-256C CPU@51.312C Tboard@38C SOC2@46.875C Tdiode@40.75C SOC0@47.968C CV1@-256C GPU@46.906C tj@51.312C SOC1@48.062C CV2@-256C
04-10-2025 21:37:16 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,56%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 91% CV0@-256C CPU@50.843C Tboard@38C SOC2@46.875C Tdiode@40.5C SOC0@47.875C CV1@-256C GPU@46.75C tj@50.843C SOC1@48.062C CV2@-256C
04-10-2025 21:37:17 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,2%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,56%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 48% CV0@-256C CPU@51.531C Tboard@38C SOC2@46.875C Tdiode@40.5C SOC0@47.937C CV1@-256C GPU@47.156C tj@51.531C SOC1@48.093C CV2@-256C
04-10-2025 21:37:18 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [1%@729,2%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,56%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 20% CV0@-256C CPU@50.812C Tboard@38C SOC2@46.937C Tdiode@40.5C SOC0@47.968C CV1@-256C GPU@47.218C tj@50.812C SOC1@48.187C CV2@-256C
04-10-2025 21:37:19 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,55%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 16% CV0@-256C CPU@50.937C Tboard@38C SOC2@46.75C Tdiode@40.75C SOC0@47.937C CV1@-256C GPU@47.218C tj@50.937C SOC1@48.125C CV2@-256C
04-10-2025 21:37:20 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,2%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,55%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 70% CV0@-256C CPU@50.937C Tboard@38C SOC2@46.75C Tdiode@40.5C SOC0@48.062C CV1@-256C GPU@47.093C tj@50.937C SOC1@48.187C CV2@-256C
04-10-2025 21:37:21 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,56%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 33% CV0@-256C CPU@50.937C Tboard@38C SOC2@46.812C Tdiode@40.5C SOC0@48.031C CV1@-256C GPU@47.156C tj@50.937C SOC1@48.187C CV2@-256C
04-10-2025 21:37:22 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [1%@729,1%@729,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,56%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 84% CV0@-256C CPU@50.968C Tboard@38C SOC2@46.75C Tdiode@40.75C SOC0@48.093C CV1@-256C GPU@46.875C tj@50.968C SOC1@48.218C CV2@-256C
04-10-2025 21:37:23 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,2%@729,0%@729,0%@729,0%@2112,0%@2112,0%@2112,55%@2112,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 21% CV0@-256C CPU@50.906C Tboard@38C SOC2@46.781C Tdiode@40.5C SOC0@48.156C CV1@-256C GPU@46.843C tj@50.906C SOC1@48.281C CV2@-256C
04-10-2025 21:37:24 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,55%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 33% CV0@-256C CPU@51.187C Tboard@38C SOC2@46.875C Tdiode@40.5C SOC0@48.156C CV1@-256C GPU@47.156C tj@51.187C SOC1@48.312C CV2@-256C
04-10-2025 21:37:25 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,2%@729,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,56%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 60% CV0@-256C CPU@51.031C Tboard@38C SOC2@46.875C Tdiode@40.75C SOC0@47.812C CV1@-256C GPU@47.281C tj@51.031C SOC1@48.343C CV2@-256C
04-10-2025 21:37:26 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,2%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,55%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 48% CV0@-256C CPU@51.218C Tboard@38C SOC2@46.875C Tdiode@40.75C SOC0@47.968C CV1@-256C GPU@47.375C tj@51.218C SOC1@48.406C CV2@-256C
04-10-2025 21:37:27 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [1%@729,1%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,56%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 43% CV0@-256C CPU@51.156C Tboard@38C SOC2@46.875C Tdiode@40.75C SOC0@47.843C CV1@-256C GPU@47.125C tj@51.156C SOC1@48.062C CV2@-256C
04-10-2025 21:37:28 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,55%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 31% CV0@-256C CPU@51.343C Tboard@38C SOC2@46.875C Tdiode@40.75C SOC0@48C CV1@-256C GPU@46.843C tj@51.343C SOC1@48.093C CV2@-256C
04-10-2025 21:37:29 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,55%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 85% CV0@-256C CPU@51.093C Tboard@38C SOC2@46.875C Tdiode@40.75C SOC0@47.906C CV1@-256C GPU@46.968C tj@51.093C SOC1@48.062C CV2@-256C
04-10-2025 21:37:30 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,2%@729,0%@729,0%@2201,0%@2201,0%@2201,0%@2201,56%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 50% CV0@-256C CPU@51.468C Tboard@38C SOC2@46.968C Tdiode@40.75C SOC0@47.875C CV1@-256C GPU@46.781C tj@51.468C SOC1@48.093C CV2@-256C
04-10-2025 21:37:31 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,55%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 12% CV0@-256C CPU@51.218C Tboard@38C SOC2@46.937C Tdiode@40.75C SOC0@47.937C CV1@-256C GPU@47.218C tj@51.218C SOC1@48.156C CV2@-256C
04-10-2025 21:37:32 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,55%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 32% CV0@-256C CPU@51C Tboard@38C SOC2@46.875C Tdiode@40.5C SOC0@47.968C CV1@-256C GPU@47.343C tj@51C SOC1@48.156C CV2@-256C
04-10-2025 21:37:33 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,56%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 92% CV0@-256C CPU@51.312C Tboard@38C SOC2@46.968C Tdiode@40.75C SOC0@48.031C CV1@-256C GPU@47.25C tj@51.312C SOC1@48.125C CV2@-256C
